,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
0,一,"<span class=""tone1"">一</span>","<span class=""tone1"">yī</span><!--yi-->",one,"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}","<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}","<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}","<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}",,"<span class=""highlight"">一</span>二三。",One two three.,yī èr sān 。<!--yi er san 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">",1 CharSet,data/sounds/oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.wav,yī,yī,Tone 1 ( ̄)
1,二,"<span class=""tone4"">二</span>","<span class=""tone4"">èr</span><!--er-->",two,"<span class=""tone4"">二</span><span class=""tone1"">哥</span>{{c1:: － <span class=""tone4"">èr</span><span class=""tone1"">gē</span> － second older brother}}","<span class=""tone4"">二</span><span class=""tone1"">曰</span>{{c1:: － <span class=""tone4"">èr</span><span class=""tone1"">yuē</span> － February}}","<span class=""tone4"">二</span><span class=""tone3"">等</span>{{c1:: － <span class=""tone4"">èr</span><span class=""tone3"">děng</span> － second class}}","<span class=""tone2"">独</span><span class=""tone1"">一</span><span class=""tone2"">无</span><span class=""tone4"">二</span>{{c1:: － <span class=""tone2"">dú</span><span class=""tone1"">yī</span><span class=""tone2"">wú</span><span class=""tone4"">èr</span> － unique}}",,"一加一等于<span class=""highlight"">二</span>。",One plus one equals two.,yī jiā yī děng yú èr 。<!--yi jia yi deng yu er 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20108.gif"" alt=""二"" style=""width:75px;height:75px;"">",1 CharSet,data/sounds/oddcast-f94fca7e-fe5310ac-bc30f384-10a7e711-6fcb8044.wav,èr,èr,Tone 4 ( ̀)
2,三,"<span class=""tone1"">三</span>","<span class=""tone1"">sān</span><!--san-->",three,"<span class=""tone1"">三</span><span class=""tone3"">角</span><span class=""tone2"">形</span>{{c1:: － <span class=""tone1"">sān</span><span class=""tone3"">jiǎo</span><span class=""tone2"">xíng</span> － triangle}}","<span class=""tone1"">三</span><span class=""tone4"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone1"">sān</span><span class=""tone4"">gè</span><span class=""tone4"">yuè</span> － three months}}","<span class=""tone1"">星</span><span class=""tone1"">期</span><span class=""tone1"">三</span>{{c1:: － <span class=""tone1"">xīng</span><span class=""tone1"">qī</span><span class=""tone1"">sān</span> － Wednesday}}","<span class=""tone1"">三</span><span class=""tone1"">心</span><span class=""tone4"">二</span><span class=""tone4"">意</span>{{c1:: － <span class=""tone1"">sān</span><span class=""tone1"">xīn</span><span class=""tone4"">èr</span><span class=""tone4"">yì</span> － indecisive}}",,"一不离二，二不离<span class=""highlight"">三</span>。","Things don't happen once, they come in two's and three's.",yī bù lí èr ， èr bù lí sān 。<!--yi bu li er ， er bu li san 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19977.gif"" alt=""三"" style=""width:75px;height:75px;"">",1 CharSet,data/sounds/oddcast-bbb7a5fa-573075f2-b40fb9a2-5acc0b57-eee1663d.wav,sān,sān,Tone 1 ( ̄)
3,十,"<span class=""tone2"">十</span>","<span class=""tone2"">shí</span><!--shi-->",ten,"<span class=""tone2"">十</span><span class=""tone1"">分</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone1"">fēn</span> － fully}}","<span class=""tone1"">八</span><span class=""tone3"">九</span><span class=""tone4"">不</span><span class=""tone2"">离</span><span class=""tone2"">十</span>{{c1:: － <span class=""tone1"">bā</span><span class=""tone3"">jiǔ</span><span class=""tone4"">bù</span><span class=""tone2"">lí</span><span class=""tone2"">shí</span> － about right; pretty close}}","<span class=""tone2"">十</span><span class=""tone4"">字</span><span class=""tone4"">路</span><span class=""tone3"">口</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone4"">zì</span><span class=""tone4"">lù</span><span class=""tone3"">kǒu</span> － intersection}}","<span class=""tone2"">十</span><span class=""tone2"">全</span><span class=""tone2"">十</span><span class=""tone3"">美</span>{{c1:: － <span class=""tone2"">shí</span><span class=""tone2"">quán</span><span class=""tone2"">shí</span><span class=""tone3"">měi</span> － to be perfect in every way}}",,"这颗钻石重<span class=""highlight"">十</span>克。",This diamond weighs ten grams.,Zhè kē zuànshí zhòng shí kè.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21313.gif"" alt=""十""style=""width:75px;height:75px;""/>",1 CharSet,data/sounds/oddcast-59d90f5b-b7b15ee4-0d875620-426d6940-005f0fc7.wav,shí,shí,Tone 2 ( ́)
4,女,"<span class=""tone3"">女</span>","<span class=""tone3"">nǚ</span><!--nü-->",female,"<span class=""tone3"">女</span><span class=""tone5"">人</span>{{c1:: － <span class=""tone3"">nǚ</span><span class=""tone5"">ren</span> － woman}}","<span class=""tone3"">女</span><span class=""tone2"">儿</span>{{c1:: － <span class=""tone3"">nǚ</span><span class=""tone2"">ér</span> － daughter}}",,,,"中国的<span class=""highlight"">女</span>运动鬼都很出色。",Chinese female athletes are outstanding.,zhōng guó de nǚ yùn dòng guǐ dōu hěn chū sè 。<!--zhong guo de nü yun dong gui dou hen chu se 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22899.gif"" alt=""女""style=""width:75px;height:75px;""/>",1 CharSet,data/sounds/oddcast-21ef4b89-133f2f40-7618c965-5b92d7bc-4bc4ca5d.wav,nǚ,nǚ,Tone 3 ( ̌)
5,会,"<span class=""tone4"">会</span>","<span class=""tone4"">huì</span><!--hui-->",will; can; able to; know how to; meeting,"<span class=""tone2"">集</span><span class=""tone4"">会</span>{{c1:: － <span class=""tone2"">jí</span><span class=""tone4"">huì</span> － assembly}}","<span class=""tone4"">大</span><span class=""tone4"">会</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone4"">huì</span> － general assembly}}","<span class=""tone1"">一</span><span class=""tone4"">会</span><span class=""tone5"">儿</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">huì</span><span class=""tone5"">r5</span> － (in) a moment}}",,,"他在<span class=""highlight"">会</span>上阐述了自己的观点。","At the meeting, he explained his view.",Tā zài huìshàng chǎnshùle zìjǐ de guāndiǎn.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20250.gif"" alt=""会"" style=""width:75px;height:75px;"">",5 CharSet,data/sounds/oddcast-969dd056-6bf241fc-dd6211df-8aeb66b8-08560f29.wav,huì,huì,Tone 4 ( ̀)
6,国,"<span class=""tone2"">国</span>","<span class=""tone2"">guó</span><!--guo-->",country,"<span class=""tone2"">国</span><span class=""tone1"">家</span>{{c1:: － <span class=""tone2"">guó</span><span class=""tone1"">jiā</span> － nation}}","<span class=""tone2"">德</span><span class=""tone2"">国</span>{{c1:: － <span class=""tone2"">dé</span><span class=""tone2"">guó</span> － germany}}","<span class=""tone2"">国</span><span class=""tone4"">庆</span>{{c1:: － <span class=""tone2"">guó</span><span class=""tone4"">qìng</span> － National Day}}","<span class=""tone2"">国</span><span class=""tone4"">际</span>{{c1:: － <span class=""tone2"">guó</span><span class=""tone4"">jì</span> － international}}",,"《一<span class=""highlight"">国</span>两制》这个政策是邓小平提出的。","“One country, two systems"" was proposed by Deng Xiaoping.",《 yī guó liǎng zhì 》 zhè ge zhèng cè shì dèng xiǎo píng tí chū de 。<!--《 yi guo liang zhi 》 zhe ge zheng ce shi deng xiao ping ti chu de 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22269.gif"" alt=""国""style=""width:75px;height:75px;""/>",5 CharSet,data/sounds/oddcast-c92fe73c-26303b28-629a44f0-f2c348bb-ebd66333.wav,guó,guó,Tone 2 ( ́)
7,文,"<span class=""tone2"">文</span>","<span class=""tone2"">wén</span><!--wen-->",writing; literature; culture,"<span class=""tone4"">日</span><span class=""tone2"">文</span>{{c1:: － <span class=""tone4"">rì</span><span class=""tone2"">wén</span> － Japanese Language}}","<span class=""tone2"">文</span><span class=""tone4"">化</span>{{c1:: － <span class=""tone2"">wén</span><span class=""tone4"">huà</span> － Culture}}",,,,"艺妓是日本的一种传统<span class=""highlight"">文</span>化。",Geishas are a part of traditional Japanese culture.,Yìjì shì Rìběn de yī zhǒng chuántǒng wénhuà.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25991.gif"" alt=""文""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-33fe9c7d-f0f97cba-f8cd06d1-c2b8aa8c-ba2d43ec.wav,wén,wén,Tone 2 ( ́)
8,这,"<span class=""tone4"">这</span>","<span class=""tone4"">zhè</span><!--zhe-->",this,"<span class=""tone4"">这</span><span class=""tone5"">个</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone5"">ge</span> － this one}}","<span class=""tone4"">这</span><span class=""tone5"">儿</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone5"">r5</span> － here}}","<span class=""tone4"">这</span><span class=""tone4"">样</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone4"">yàng</span> － this way}}",,,"<span class=""highlight"">这</span>消息我知道了。",I already know that news.,zhè xiāo xi wǒ zhī dao le<!--zhe xiao xi wo zhi dao le-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36825.gif"" alt=""这""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-85c79631-779494c7-261b9926-af9dcc3d-8e522fc1.wav,zhè,zhè,Tone 4 ( ̀)
9,门,"<span class=""tone2"">门</span>","<span class=""tone2"">mén</span><!--men-->",gate; door; {MW} Courses in school,"<span class=""tone2"">门</span><span class=""tone3"">口</span>{{c1:: － <span class=""tone2"">mén</span><span class=""tone3"">kǒu</span> － doorway}}",,,,,"她不允许丈夫出<span class=""highlight"">门</span>。",She won't allow her husband to go out.,Tā bù yǔnxǔ zhàngfu chūmén.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38376.gif"" alt=""门""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-09eedb95-8265af19-2bccdeff-873f43ad-a3f8f64e.wav,mén,mén,Tone 2 ( ́)
